#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	metaphlan_SRR6000869	metaphlan_SRR6000870	metaphlan_SRR6000871	metaphlan_SRR6000873	metaphlan_SRR6000874	metaphlan_SRR6000877	metaphlan_SRR6000878	metaphlan_SRR6000890	metaphlan_SRR6000891	metaphlan_SRR6000892	metaphlan_SRR6000893	metaphlan_SRR6000894	metaphlan_SRR6000895	metaphlan_SRR6000896	metaphlan_SRR6000899	metaphlan_SRR6000900	metaphlan_SRR6000901	metaphlan_SRR6000902	metaphlan_SRR6000903	metaphlan_SRR6000905	metaphlan_SRR6000906	metaphlan_SRR6000907	metaphlan_SRR6000908	metaphlan_SRR6000909	metaphlan_SRR6000910	metaphlan_SRR6000911	metaphlan_SRR6000912	metaphlan_SRR6000920	metaphlan_SRR6000921	metaphlan_SRR6000931	metaphlan_SRR6000932	metaphlan_SRR6000940	metaphlan_SRR6000942	metaphlan_SRR6000944	metaphlan_SRR6000945	metaphlan_SRR6000946	metaphlan_SRR6000947	metaphlan_SRR6000949
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.50626	0.21324	0.10033	0.08143	0.30428	0.00517	0.56711	0.72758	0.16909	0.37435	0.90481	0.10468	0.0559	0.04072	0.07133	0.0	0.0	0.99619	0.0166	0.12451	1.74081	0.14355	0.40339	0.14416	0.52116	0.6446	0.47158	0.55887	0.03968	0.26953	0.49659	0.09817	0.07569	0.17235	0.0	0.48715	0.11842	0.35403
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	1.25136	1.70337	0.01168	0.0067	0.0	0.0	0.41593	0.06139	0.0	0.31371	0.09843	0.50035	0.155	0.0	1.07906	3.60105	0.41394	0.0	2.47637	0.61842	0.0	0.01819	0.2959	0.0	2.1122	0.0	0.53413	0.01609	0.0	2.23876	0.0	0.04975	0.0	0.93454	1.25447	0.0022	0.00059	1.01365
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.12025	0.24457	0.69745	0.63469	0.50578	1.5964	0.0	0.0	0.6674	0.0105	0.2624	0.0	0.5584	1.45684	0.0888	0.0	2.05351	0.57056	0.0	1.77854	0.1302	0.0307	0.0	0.0	1.23357	0.90696	0.25709	0.01139	0.0	0.3455	1.34275	0.0	1.12938	0.55918	4.54843	0.01933	0.78798	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	1.10158	0.39234	0.0	1.43414	0.09925	8.32103	0.42115	0.0	0.05209	19.00669	1.672	2.52415	0.00705	0.0	4.574	0.0	15.07828	0.0	0.0	5.32608	1.59828	1.31626	0.0	4.36206	0.0	2.07889	0.0	4.18628	1.0177	0.02307	4.53637	0.0	1.96919	0.17333	0.0	8.87077	0.84312	0.21144
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	0.89344	0.3551	0.0	0.7369	0.71664	0.0	1.60626	0.34304	0.0	0.0	0.0	0.14558	0.06636	0.10995	0.06254	1.28509	4.63207	0.0	18.9332	1.587	0.21534	0.14208	0.0	0.11687	0.47623	0.19591	0.00655	1.15644	0.0	0.39142	0.0	0.0	0.0	0.0	0.0	1.21616	0.03523	0.93114
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.89238	2.12963	0.52497	1.94093	0.93707	1.0125	0.63329	0.31724	2.62352	3.55032	0.24683	0.46346	0.31525	0.63192	1.66048	1.10369	0.58055	0.43243	2.44574	1.02653	0.69139	1.40205	1.99789	5.20013	0.38823	0.27864	0.18379	0.30734	0.44334	2.96749	5.86471	2.4195	0.85288	0.42528	0.26279	0.1004	0.61448	0.0366
k__Bacteria|p__Firmicutes|c__CFGB2918|o__OFGB2918	0.53972	0.01775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06826	0.0	0.0	0.0	0.0	0.0375	0.0	0.0	0.63201	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	0.32506	0.12534	0.0	0.44657	0.0	0.0	0.32923	0.06989	0.69096	0.5603	0.22567	0.23504	0.01319	0.0	0.0	0.0	0.0	0.07932	0.0	0.0	0.04037	0.00073	0.0	0.05942	0.14944	0.15878	0.0	0.72189	0.01995	0.16948	0.0	0.0	0.0	0.05384	0.0	0.34454	0.13186	0.25042
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	0.26547	0.0	0.0	0.04225	0.0	0.0	0.0	0.03761	0.02487	0.02164	0.00057	0.01464	0.00262	0.00709	0.0	0.0	0.0	0.04826	0.0	0.17307	0.02396	0.15276	0.04101	0.0636	0.0	0.0	0.00449	0.0	0.02979	0.00098	0.32342	2.015	0.19363	0.0116	0.0	0.14823	0.5008	0.03708
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	0.24122	0.05052	0.0	0.00988	0.0	0.0	0.0	0.0	0.18082	0.15006	0.15531	0.0	0.08973	0.0	0.06996	0.0	0.0	0.0	0.0	0.03484	0.61514	0.53278	0.0	3.03478	0.0	0.064	0.00958	0.0	0.12487	0.07345	0.0	0.0	0.0	0.0006	0.0	0.04478	0.1302	0.10028
